Wall time,Step,Value
1648886941.88857,6142,232973.0
1648886968.861156,6225,236134.0
1648886976.014292,6243,236998.0
1648886990.279035,6279,238698.0
1648887007.759086,6332,240759.0
1648887009.351367,6334,240950.0
1648887017.362775,6358,241880.0
1648887017.578644,6359,241903.0
1648887018.608098,6364,242016.0
1648887020.495268,6369,242232.0
1648887099.194995,6551,251555.0
1648887103.178405,6564,252016.0
1648887104.719693,6569,252205.0
1648887113.690449,6585,253260.0
1648887116.091328,6590,253528.0
1648887119.922388,6599,253968.0
1648887126.864423,6615,254757.0
1648887170.152561,6730,259627.0
1648887176.660827,6750,260363.0
1648887193.70579,6802,262274.0
1648887213.563408,6842,264535.0
1648887216.494536,6850,264869.0
1648887242.858531,6919,267980.0
1648887264.737782,6991,270559.0
1648887266.191161,6996,270719.0
1648887266.530498,6998,270763.0
1648887299.896157,7054,273553.0
1648887352.210605,7164,279552.0
1648887375.102645,7207,282031.0
1648887390.623961,7253,283728.0
1648887416.538972,7308,286692.0
1648887439.574753,7353,289376.0
1648887471.383262,7436,292986.0
1648887482.518654,7464,294256.0
1648887484.980325,7468,294521.0
1648887485.376053,7470,294567.0
1648887499.896608,7506,296178.0
1648887517.303748,7543,298137.0
1648887542.333659,7593,300953.0
1648887547.993217,7604,301613.0
1648887564.611463,7644,303498.0
1648887595.699027,7727,307135.0
1648887596.985657,7730,307282.0
1648887608.114809,7756,308570.0
1648887625.928877,7794,310641.0
1648887642.11704,7821,312564.0
1648887659.674937,7855,314585.0
1648887679.65355,7895,316828.0
1648887721.162418,7986,321616.0
1648887804.860778,8122,329199.0
1648887874.911,8291,336999.0
1648887877.263175,8296,337271.0
1648887916.79882,8397,341807.0
1648887983.284239,8548,349355.0
1648887985.678383,8554,349645.0
1648888014.393268,8618,352947.0
1648888034.885319,8659,355280.0
1648888053.579829,8694,357471.0
1648888067.93619,8724,359168.0
1648888078.688034,8752,360408.0
1648888092.309523,8776,361972.0
1648888093.377662,8778,362095.0
1648888109.160055,8823,363842.0
1648888114.563016,8833,364448.0
1648888131.270344,8870,366359.0
1648888136.371452,8877,366934.0
1648888228.256944,9058,375805.0
1648888254.232124,9121,378657.0
1648888268.918383,9152,380248.0
1648888295.40951,9212,383154.0
1648888320.805384,9252,385985.0
1648888336.056468,9291,387640.0
1648888342.578246,9303,388364.0
1648888357.059662,9327,389931.0
1648888372.486215,9359,391604.0
1648888460.696234,9538,401233.0
1648888465.952228,9547,401801.0
1648888528.385873,9671,408654.0
1648888548.915241,9712,410864.0
1648888571.888344,9753,413337.0
1648888572.090777,9754,413358.0
1648888583.56733,9772,414595.0
1648888620.534188,9837,418567.0
1648888634.369986,9867,420032.0
1648888650.295464,9894,421765.0
1648888661.943275,9917,423010.0
1648888682.071386,9948,425217.0
1648888682.524474,9949,425268.0
1648888690.154449,9960,426105.0
1648888697.669424,9973,426963.0
1648888701.509707,9979,427392.0
1648888708.110059,9993,428126.0
1648888757.301496,10063,431908.0
1648888768.524125,10090,433229.0
1648888786.873544,10121,435343.0
1648888793.989127,10138,436144.0
1648888820.753887,10191,439157.0
1648888829.744944,10208,440177.0
1648888831.401611,10215,440365.0
1648888896.250439,10342,447823.0
1648888898.364876,10345,448067.0
1648888898.582513,10346,448090.0
1648888919.611602,10395,450468.0
1648888942.483687,10445,453054.0
1648888948.6016,10458,453736.0
1648888971.60994,10501,456296.0
1648888981.047696,10518,457375.0
1648889002.211707,10561,459698.0
1648889049.661454,10643,464940.0
1648889051.188221,10645,465111.0
1648889087.237145,10707,469070.0
1648889094.197875,10717,469823.0
1648889098.413899,10724,470296.0
1648889282.312664,11023,488769.0
1648889285.348882,11028,489111.0
1648889290.531457,11036,489669.0
1648889298.283808,11054,490533.0
