Wall time,Step,Value
1648885070.000513,107,0.0
1648885073.732141,172,0.0
1648885078.576297,244,0.0
1648885080.089461,259,0.0
1648885111.888644,402,0.0074135251343250275
1648885126.471699,465,0.019540732726454735
1648885135.310729,510,0.06530722975730896
1648885143.732934,538,0.07398295402526855
1648885148.75896,556,0.07510293275117874
1648885157.499204,596,0.09215977042913437
1648885171.671514,658,0.10632264614105225
1648885197.583218,764,0.15135438740253448
1648885206.028828,804,0.14947699010372162
1648885222.09696,866,0.16956672072410583
1648885226.791461,886,0.17025554180145264
1648885266.799753,1015,0.25223222374916077
1648885268.777667,1026,0.22491124272346497
1648885271.941615,1037,0.2321578711271286
1648885295.469424,1125,0.3337472379207611
1648885296.906521,1132,0.3114894926548004
1648885306.872759,1164,0.32349255681037903
1648885309.05864,1176,0.3044933080673218
1648885310.989264,1184,0.3338298201560974
1648885328.7139,1252,0.3412851095199585
1648885329.442135,1254,0.31821969151496887
1648885333.352656,1271,0.35234779119491577
1648885356.515774,1376,0.36143407225608826
1648885369.726066,1417,0.49255070090293884
1648885381.687616,1458,0.5311915278434753
1648885389.006609,1494,0.47325262427330017
1648885392.159838,1510,0.49596071243286133
1648885392.709966,1513,0.5244724154472351
1648885405.020298,1548,0.5010906457901001
1648885409.886819,1565,0.491715669631958
1648885442.35678,1670,0.6784443259239197
1648885517.268591,1940,1.0226879119873047
1648885522.235716,1960,1.072428822517395
1648885522.395508,1961,1.0471467971801758
1648885635.385988,2359,1.052675485610962
1648885658.557501,2436,1.1739665269851685
1648885661.470868,2441,1.2501574754714966
1648885668.091498,2462,1.2258211374282837
1648885668.598566,2465,1.1549155712127686
1648885681.610711,2503,1.2885950803756714
1648885706.175523,2577,1.3407725095748901
1648885722.86578,2635,1.464799404144287
1648885726.114208,2643,1.4732780456542969
1648885736.343942,2684,1.529219150543213
1648885739.332851,2693,1.5213019847869873
1648885744.578729,2708,1.5086623430252075
1648885748.641847,2717,1.5471280813217163
1648885764.739271,2768,1.5850659608840942
1648885770.936787,2785,1.489682674407959
1648885788.720939,2844,1.6345210075378418
1648885794.787964,2861,1.5041093826293945
1648885828.613431,2973,1.7079458236694336
1648885867.51712,3083,1.7651444673538208
1648885872.999835,3104,1.8621463775634766
1648885873.213036,3105,1.7384047508239746
1648885884.313254,3145,1.8399920463562012
1648885899.233736,3199,1.763257622718811
1648885903.586497,3217,1.9086569547653198
1648885911.230682,3241,1.7460161447525024
1648885919.666585,3265,1.8474812507629395
1648885920.506812,3268,1.7087104320526123
1648885946.451752,3356,1.6354159116744995
1648885960.751774,3404,1.6478091478347778
1648885991.64327,3483,1.8559648990631104
1648885998.213397,3500,1.801687240600586
1648886006.132079,3526,1.965419888496399
1648886016.939948,3566,1.9270009994506836
1648886027.066895,3600,1.9285099506378174
1648886033.288003,3616,2.066671371459961
1648886044.010112,3654,2.0361063480377197
1648886047.363913,3668,2.1079530715942383
1648886047.962827,3671,2.06247878074646
1648886063.198851,3712,1.9848031997680664
1648886085.041753,3782,1.9925355911254883
1648886108.322403,3848,2.187119483947754
1648886130.615385,3915,2.065373182296753
1648886139.203368,3933,2.110457420349121
1648886174.151432,4012,1.9571504592895508
1648886176.181787,4023,2.059523105621338
1648886203.160513,4109,2.2414562702178955
1648886206.430369,4121,2.260500907897949
1648886227.673686,4181,2.2862777709960938
1648886232.703183,4192,2.419672727584839
1648886244.798595,4227,2.3588757514953613
1648886276.729393,4318,2.510129690170288
1648886279.464717,4328,2.6607747077941895
1648886351.9196,4539,2.6111338138580322
