WallTime,Step,Value
1648885069.999713,107,0.36000001430511475
1648885073.731365,172,0.1899999976158142
1648885078.57548,244,0.33000001311302185
1648885080.088673,259,0.4000000059604645
1648885111.887074,402,0.2199999988079071
1648885126.470172,465,0.20000000298023224
1648885135.309637,510,0.11999999731779099
1648885143.731816,538,0.17000000178813934
1648885148.757635,556,0.20000000298023224
1648885157.497974,596,0.25
1648885171.669994,658,0.1599999964237213
1648885197.581363,764,0.23000000417232513
1648885206.027395,804,0.20999999344348907
1648885222.095311,866,0.20000000298023224
1648885226.790238,886,0.23000000417232513
1648885266.798157,1015,0.30000001192092896
1648885268.776642,1026,0.25
1648885271.938988,1037,0.25
1648885295.467829,1125,0.25999999046325684
1648885296.905349,1132,0.23999999463558197
1648885306.871252,1164,0.36000001430511475
1648885309.056062,1176,0.3499999940395355
1648885310.98789,1184,0.3400000035762787
1648885328.711968,1252,0.23000000417232513
1648885329.440907,1254,0.23999999463558197
1648885333.351124,1271,0.2800000011920929
1648885356.514412,1376,0.15000000596046448
1648885369.724348,1417,0.30000001192092896
1648885381.685477,1458,0.33000001311302185
1648885389.004745,1494,0.23999999463558197
1648885392.157957,1510,0.2199999988079071
1648885392.708429,1513,0.2199999988079071
1648885405.017916,1548,0.27000001072883606
1648885409.88461,1565,0.25999999046325684
1648885442.354999,1670,0.4300000071525574
1648885517.265893,1940,0.3499999940395355
1648885522.233903,1960,0.25999999046325684
1648885522.394096,1961,0.25
1648885635.38334,2359,0.20000000298023224
1648885658.554828,2436,0.3499999940395355
1648885661.469113,2441,0.4000000059604645
1648885668.090193,2462,0.4399999976158142
1648885668.597364,2465,0.41999998688697815
1648885681.608228,2503,0.4399999976158142
1648885706.17348,2577,0.4699999988079071
1648885722.864489,2635,0.4699999988079071
1648885726.112587,2643,0.47999998927116394
1648885736.342503,2684,0.3400000035762787
1648885739.331213,2693,0.3700000047683716
1648885744.577459,2708,0.4000000059604645
1648885748.640281,2717,0.41999998688697815
1648885764.737724,2768,0.4399999976158142
1648885770.934755,2785,0.47999998927116394
1648885788.719526,2844,0.3400000035762787
1648885794.786453,2861,0.36000001430511475
