WallTime,Step,Value
1648998981.1749952,6225,0.0
1648999022.2151773,6279,1.0
1648999065.8104606,6332,2.0
1648999067.0267198,6334,2.0
1648999079.665485,6358,1.0
1648999080.1737065,6359,1.0
1648999085.565919,6369,1.0
1648999192.6224964,6569,1.0
1648999200.8162801,6585,1.0
1648999203.3579197,6590,0.0
1648999208.3387907,6599,0.0
1648999279.6991494,6730,0.0
1648999290.880629,6750,2.0
1648999343.2631297,6850,2.0
1648999380.5339212,6919,0.0
1648999419.209676,6991,3.0
1648999423.4914672,6996,3.0
1648999456.259216,7054,2.0
1648999562.9734316,7253,1.0
1648999671.2797198,7436,0.0
1648999686.0950322,7464,1.0
1648999688.1758661,7468,1.0
1648999728.61804,7543,3.0
1648999763.7166898,7604,2.0
1648999784.5751488,7644,1.0
1648999831.1902313,7727,0.0
1648999832.7869794,7730,0.0
1648999846.7242973,7756,3.0
1648999867.798259,7794,1.0
1648999882.3646214,7821,2.0
1648999974.031599,7986,3.0
1649000055.718838,8122,2.0
1649000150.9698205,8291,0.0
1649000296.5808716,8548,3.0
1649000299.9684544,8554,3.0
1649000334.518183,8618,3.0
1649000356.2968118,8659,2.0
1649000374.6606793,8694,2.0
1649000390.2360163,8724,0.0
1649000405.0447695,8752,0.0
1649000417.7221713,8776,2.0
1649000418.7686312,8778,2.0
1649000442.2777746,8823,1.0
1649000447.4910965,8833,1.0
1649000468.3053043,8870,0.0
1649000471.8631654,8877,0.0
1649000575.4450266,9058,1.0
1649000610.371146,9121,1.0
1649000626.338607,9152,3.0
1649000680.2449844,9252,0.0
1649000701.065764,9291,3.0
1649000720.1986618,9327,1.0
1649000736.865157,9359,1.0
1649000838.7868762,9538,4.0
1649000843.5019207,9547,0.0
1649000910.4868824,9671,3.0
1649000932.2640164,9712,0.0
1649000953.7930307,9753,0.0
1649000954.3007495,9754,0.0
1649001000.228292,9837,3.0
1649001017.20194,9867,3.0
1649001031.9515786,9894,5.0
1649001044.0592906,9917,5.0
1649001060.2863152,9948,1.0
1649001061.0664184,9949,1.0
1649001074.291292,9973,1.0
1649001077.3362532,9979,1.0
1649001084.6941385,9993,2.0
1649001122.5427363,10063,2.0
1649001136.582617,10090,2.0
1649001153.9034586,10121,4.0
1649001162.8760855,10138,0.0
1649001190.7262459,10191,0.0
1649001203.3808522,10215,0.0
1649001271.38856,10342,0.0
1649001272.9906466,10345,0.0
1649001299.7841098,10395,0.0
1649001325.3922093,10445,2.0
1649001332.640563,10458,3.0
1649001355.335091,10501,0.0
1649001364.000688,10518,0.0
1649001388.4609218,10561,2.0
1649001432.323624,10643,4.0
1649001433.5500226,10645,1.0
1649001466.0341995,10707,2.0
1649001475.1241114,10724,2.0
1649001660.8848128,11023,0.0
1649001667.5229805,11036,0.0
1649001677.3642948,11054,2.0
1649001699.0540648,11094,2.0
1649001711.570533,11118,2.0
1649001763.4287372,11212,1.0
1649001766.4719234,11218,1.0
1649001829.9389243,11331,2.0
1649001864.2176335,11394,0.0
1649001871.9174657,11409,0.0
1649002079.211678,11786,1.0
1649002096.9963892,11819,1.0
1649002111.612951,11847,2.0
1649002122.791794,11867,2.0
1649002208.4286249,12027,2.0
1649002234.3684583,12076,0.0
1649002290.3838966,12175,0.0
1649002292.6204317,12179,0.0
1649002361.9151788,12302,2.0
1649002369.2162995,12316,2.0
1649002389.5791013,12354,2.0
1649002412.892114,12398,4.0
1649002413.950774,12400,4.0
1649002435.7980683,12437,0.0
1649002456.9260895,12476,1.0
1649002500.1047394,12554,4.0
1649002525.0732353,12601,2.0
1649002584.0880175,12708,1.0
1649002687.6767735,12901,1.0
1649002689.83971,12905,1.0
1649002710.5471153,12944,2.0
1649002725.766393,12972,2.0
1649002728.702295,12976,2.0
1649002910.8639762,13304,0.0
1649002935.2695498,13349,0.0
1649002956.099148,13388,4.0
1649002971.9677453,13418,0.0
1649002994.4537914,13455,3.0
1649003030.184646,13522,2.0
1649003044.9767275,13550,1.0
1649003085.0372822,13623,0.0
1649003095.5775454,13642,0.0
1649003098.4973462,13647,0.0
1649003183.1161997,13802,2.0
1649003208.1936963,13849,7.0
1649003274.5843203,13971,0.0
1649003279.7130773,13980,4.0
1649003293.8590622,14006,0.0
1649003316.058708,14046,2.0
1649003387.3826337,14177,1.0
1649003393.8349931,14188,0.0
1649003403.4470372,14206,0.0
1649003431.1523,14258,0.0
1649003434.7484376,14265,0.0
1649003481.7425666,14354,3.0
1649003485.9063191,14361,3.0
1649003508.5705032,14405,2.0
1649003517.6160347,14419,0.0
1649003586.5068796,14535,2.0
1649003632.6830637,14623,1.0
1649003644.6972282,14645,1.0
1649003700.331991,14745,0.0
1649003743.5966952,14819,4.0
1649003760.6983867,14851,4.0
1649003767.9082842,14864,4.0
1649003850.2056556,15019,0.0
